ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	[触发条件]参数4	进度	已废弃	目标组ID	阶段前置成就ID	完成奖励RewardID	完成后清除Watcher
80001	113	70510009				1		1		800001	1
80002	112	8				1		1		800002	1
80003	114	1014				1		1		800003	1
80004	114	1011				1		1		800004	1
80005	114	1019				1		1		800005	1
80006	114	1018				1		1		800006	1
80007	406	4				1		2		800007	1
80008	210					10		2		800008	
80009	210					20		2	80008	800009	
80010	210					40		2	80009	800010	
80011	217					10		2		800011	
80012	217					20		2	80011	800012	
80013	217					40		2	80012	800013	
80014	204	2				1		3		800014	
80015	204	4				1		3	80014	800015	
80016	204	6				1		3	80015	800016	
80017	206	2				1		3		800017	
80018	206	4				1		3	80017	800018	
80019	206	6				1		3	80018	800019	
80020	216	10				4		3		800020	
80021	216	10				8		3	80020	800021	
80022	216	10				16		3	80021	800022	
80023	309	1;3				200		3		800023	
80024	309	1;3				400		3	80023	800024	
80025	309	1;3				800		3	80024	800025	
80026	213	4	1			1		3		800026	1
80027	218	17	4	1		1		3		800027	1
80028	213	5	1			1		3		800028	1
80029	218	21	5	1		1		3		800029	1
80030	105	1;2;3;4				1		4		800030	1
80031	106	1	1	1,2,3,4		22		4		800031	1
80032	108	1	10			1		4		800032	1
80033	104	70360041	1			10		4		800033	1
80034	111	2005,3,1	1			10		4		800034	
80035	111	2005,3,1	1			20		4	80034	800035	
80036	111	2005,3,1	1			40		4	80035	800036	
80037	107	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063	1	1,2,3,4		100		4		800037	
80038	107	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063	1	1,2,3,4		200		4	80037	800038	
80039	107	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063	1	1,2,3,4		400		4	80038	800039	
80040	111	3001,3,1;3002,3,1;3003,3,1	1	1,2,3,4		5		4		800040	
80041	111	3001,3,1;3002,3,1;3003,3,1	1	1,2,3,4		10		4	80040	800041	
80042	111	3001,3,1;3002,3,1;3003,3,1	1	1,2,3,4		15		4	80041	800042	
80043	105	5;6;7;8;9				1		5		800043	1
80044	106	2	1	5,6,7,8,9		40		5		800044	1
80045	108	2	10			1		5		800045	1
80046	104	70360068	2			10		5		800046	1
80047	111	2005,3,1	2	5,6,7,8,9		20		5		800047	
80048	111	2005,3,1	2	5,6,7,8,9		40		5	80047	800048	
80049	111	2005,3,1	2	5,6,7,8,9		60		5	80048	800049	
80050	107	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063	2	5,6,7,8,9		200		5		800050	
