衰减序列预置名	序列重置时间	元素含量衰减序列	破霸体值衰减序列	伤害衰减序列
default	2.5	1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ambor	1	1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Venti	1	1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fischl	5	1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Diluc	5	1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hutao_ExtraAttack	0.8	1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Skirmisher_Fat_SprayGun_Ice	1	1,1,1,1,1,1	1,1,1,1,1,1	1,0.5,0.25,0.1,0.1,0.1
Mimik_Common	0.5	1,0,0,0,0,0	1,1,1,1,1,1	1,0,0,0,0,0
Regisvine_Common	0.5	1,0,0,0,0,0	1,1,1,1,1,1	1,0,0,0,0,0
ElementReaction_Damage_Attenuation_1	0.5	1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1	1,1,0,0,0,0,0,0,0,0
ElementReaction_Damage_Attenuation_2	0.5	1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1	1,0,0,0,0,0,0,0,0,0
Oceanid_Crab_WaterStream	1	1,1,1,1,0.1,0.1	1,1,1,1,0.1,0.1	1,0.25,0.1,0.1,0.1,0.1
Animal_Boar_03_RushAttack	2	1,0,0,0,0,0	1,0,0,0,0,0	1,0,0,0,0,0
Abyss_Fire_FireEnergy_Attenuation	0.5	1,1,1,1,1,1	1,1,1,1,1,1	1,0.5,0.25,0,0,0
Avatar_Pole_ExtraAttack	0.5	1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monster_Tartaglia_Attenuation_1	1	1,0,0,0,0,0	1,0,0,0,0,0	1,0,0,0,0,0
Ayaka_ExtraAttack	0.5	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monster_Konungmathr_Attenuation_1	0.4	1,0,0,0,0,0	1,0,0,0,0,0	1,0,0,0,0,0
Monster_Konungmathr_Attenuation_2	0.4	1,0,0,0,0,0	1,0,0,0,0,0	1,0,0,0,0,0
Monster_Effigy_Elite_Rock_StoneBall	1	1,1,1,1,1,1,1,1,1	1,0,0,1,0,0,1,0,0	1,0.7,0.5,0.2,0.1,0.1,0.1,0.1,0.1
Xiao_DevilDash	0.1	1,0,0,0,0,0,0	1,0,0,0,0,0,0	1,0,0,0,0,0,0
Monster_Primo_Attenuation_Breathe	0.5	1,0,0,0,0,0	1,1,1,1,1,1	1,0.5,0.25,0,0,0
Monster_Primo_Attenuation_ScaleGadget	0.5	1,0,0,0,0,0	1,0,0,0,0,0	1,0,0,0,0,0
MonsterAffix_GeneralSkill_IceDamage_Prison	1	1,1,1,1,1,1	1,1,1,1,1,1	1,0,0,0,0,0
Monster_Invoker_Deacon_Attenuation_1	0.5	1,0.5,0.25,0,0,0	1,1,1,1,1,1	1,0.5,0.25,0,0,0
Monster_Invoker_Deacon_Attenuation_2	1	1,0.5,0.25,0,0,0	1,1,1,1,1,1	1,0.5,0.25,0,0,0
Monster_Invoker_Herald_Attenuation_1	1	1,0,1,0,1,0	1,0,1,0,1,0	1,0.5,0.25,0.25,0.25,0.25
Effigy_Ice_Attenuation_1	0.5	1,0,0,0,0,0	1,1,1,1,1,1	1,0,0,0,0,0
Effigy_Ice_Attenuation_2	1	1,1,1,0,0,0	1,1,1,1,1,1	1,1,1,0,0,0
Effigy_Fire_DiveCrush	1	1,1,1,1,1,1	1,1,1,1,1,1	1,0,0,0,0,0
Effigy_Fire_MultiFire	1	1,1,1,0,0,0	1,1,1,1,1,1	1,1,1,0,0,0
Effigy_Fire_RollingCharge	0.5	1,0,0,0,0,0	1,1,1,1,1,1	1,0,0,0,0,0
Monster_Dahaka_Breath	1	1,1,1,1,1	1,1,1,1,1	1,0.5,0.25,0.1,0.1
Monster_Brute_Electric_None	1	1,1,1,1,1,1,1	1,1,1,0,0,0,0	1,0,0,0,0,0,0
SceneObj_ThunderFloor	5	1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	1,1,1,1,1	1,1,1,1,1
Monster_Shougun_ElectricEye	1	1,1,1	1,1,1	1,0.25,0.1
Monster_Abyss_Electric_ElectricCircle	1	1,1,1,1,1,1,1,1,1,1	1,0,0,0,0,1,0,0,0,0	1,0,0,0,0,1,0,0,0,0
Monster_Effigy_Water_SurgeStrike	1	1,1,1,1	1,1,1,1	1,0.5,0.25,0.1
Monster_LaSignora_Attenuation_Impulse	1	1,0,0,0,0,0	1,0,0,0,0,0	1,0,0,0,0,0
Shenhe_ElementalArt_L_Bullet	0.1	1,0,0,0,0,0,0	1,0,0,0,0,0,0	1,0,0,0,0,0,0
Monster_ForlornVessel_Lance_ChargeAtk	0.5	1,0,0,1,0,0,1,0,0	1,0,0,1,0,0,1,0,0	1,0,0,1,0,0,1,0,0
Yae_ExtraAttack	0.5	1,0,0,0,0,0,0	1,0,0,0,0,0,0	1,0,0,0,0,0,0
Monster_ForlornVessel_Warbanner_NormalAtk	0.1	1,0,0,0,0,0	1,0,0,0,0,0	1,0,0,0,0,0
Monster_ForlornVessel_Chargebow_NormalAtk	0.5	1,0,0,0,0,0	1,0,0,0,0,0	1,0,0,0,0,0
Monster_Darkwraith_Strong_Wind_ChainAtk02	0.5	1,0.2,0,0,0,0	1,0.4,0.1,0,0,0	1,0.4,0.1,0,0,0
Yelan_ExtraAttack	0.3	1,0,0,0	1,0,0,0	1,0,0,0
Yelan_ElementalBurst	2	1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
