ID	刷新ID	分组ID	对话ID列表
1	6	0	8141703;7065104
2	5	101007017	8165804
3	5	101007014	8165806
4	5	101007018	8165807
5	5	101007016	8153703
6	5	101007013	8153706
7	5	101002008	8153707
8	5	101002009	8153708
9	5	101003007	8159103
10	5	101005008	8159105
11	5	101005009	8159106
12	8	0	8204803
13	7	202005017	8243103
14	7	202005018	8243105
15	7	202005019	8243106
16	7	202005020	8243107
17	7	202005021	8243108
18	7	202005022	8243109
19	7	202005023	8243110
20	7	202005024	8243111
21	7	202005025	8243112
22	7	202005026	8243113
23	7	202005027	8243114
24	7	202006016	8162803
25	7	202006017	8210403
26	7	202006018	8210405
27	7	202006019	8162805
28	7	202006020	8162806
29	7	202006021	8162807
30	7	202006022	8162808
31	7	202006023	8210406
32	7	202012003	8210407
33	7	202012004	8210408
34	10	0	8141704;7065103
35	9	101002007	8153704
36	9	101002006	8153709
37	9	101005006	8159104
38	9	101005007	8159107
39	9	101003006	8159108
40	9	101007009	8153710
41	9	101007010	8165805
42	9	101007011	8153711
43	9	101007012	8165807
44	9	101007007	8165808
45	12	0	8204804
46	11	202005007	8243104
47	11	202005008	8243115
48	11	202005009	8243116
49	11	202005006	8243117
50	11	202005010	8243118
51	11	202005011	8243119
52	11	202005012	8243120
53	11	202005013	8243121
54	11	202005014	8243122
55	11	202005015	8243123
56	11	202005016	8243124
57	11	202006008	8162804
58	11	202006009	8210404
59	11	202006010	8210409
60	11	202006011	8162809
61	11	202006012	8162810
62	11	202006013	8162811
63	11	202006014	8162812
64	11	202006015	8210410
65	11	202012001	8210411
66	11	202012002	8210412
67	22	0	5900003
68	23	303002005	5900007
69	23	303002006	5900008
70	23	303002007	5900009
71	23	303002008	5900010
72	23	303002009	5900011
73	23	303002010	5900012
74	23	303001006	5900021
75	23	303001007	5900022
76	23	303001008	5900023
77	23	303001009	5900024
78	23	303001010	5900025
79	23	303001011	5900026
80	23	303003005	5900035
81	23	303003006	5900036
82	23	303003007	5900037
83	23	303003008	5900038
84	23	303003009	5900039
85	23	303003010	5900040
86	24	0	5900004
87	25	303002011	5900013
88	25	303002012	5900014
89	25	303002013	5900015
90	25	303002014	5900016
91	25	303002015	5900017
92	25	303002016	5900018
93	25	303001012	5900027
94	25	303001013	5900028
95	25	303001014	5900029
96	25	303001015	5900030
97	25	303001016	5900031
98	25	303001017	5900032
99	25	303003011	5900041
100	25	303003012	5900042
101	25	303003013	5900043
102	25	303003014	5900044
103	25	303003015	5900045
104	25	303003016	5900046
105	23	303004005	5900049
106	23	303004006	5900050
107	23	303004007	5900051
108	23	303004008	5900052
109	23	303004009	5900053
110	23	303004010	5900054
111	23	303004011	5900055
112	25	303004012	5900056
113	25	303004013	5900057
114	25	303004014	5900058
115	25	303004015	5900059
116	25	303004016	5900060
117	25	303004017	5900061
118	25	303004018	5900062
