插槽ID	可选部件ID	是否不可空	默认部件ID	通行证部件ID	初始部件ID
1000	373701,373702,373703	1	373701,373702,373703		373702
1	373801,373802,373803,373804,373805,373806,373807,373808,373809,373810,373811,373812,373813,373814,373815,373816,373817,373818,373819,373820,373821				
2	373801,373802,373803,373804,373805,373806,373807,373808,373809,373810,373811,373812,373813,373814,373815,373816,373817,373818,373819,373820,373821				
3	373801,373802,373803,373804,373805,373806,373807,373808,373809,373810,373811,373812,373813,373814,373815,373816,373817,373818,373819,373820,373821				
11	374005,374006,374007,374008				
12	374009,374010,374011,374012				
13	374013,374014,374015,374016				
14	374017,374018,374019,374020				
15	374021,374022,374023,374024				
16	374025,374026,374027,374028				
