ConfigID	道具ID	GadgetID	组件内名称$text_name_Name	部件类型$text_name_Type
373701	373701	77215027		
373702	373702	77215028		
373703	373703	77215029		
373801	373801	77306001		
373802	373802	77306002		
373803	373803	77306003		
373804	373804	77306004		
373805	373805	77306005		
373806	373806	77306006		
373807	373807	77306007		
373808	373808	77306008		
373809	373809	77306009		
373810	373810	77306010		
373811	373811	77306011		
373812	373812	77306012		
373813	373813	77306013		
373814	373814	77306014		
373815	373815	77306015		
373816	373816	77306016		
373817	373817	77306017		
373818	373818	77306018		
373819	373819	77306019		
373820	373820	77306020		
373821	373821	77306021		
374001	374001	77215044		
374002	374002	77215045		
374003	374003	77215046		
374004	374004	77215047		
374005	374005	77306022		
374006	374006	77306023		
374007	374007	77306024		
374008	374008	77306025		
374009	374009	77306030		
374010	374010	77306031		
374011	374011	77306032		
374012	374012	77306033		
374013	374013	77306034		
374014	374014	77306035		
374015	374015	77306036		
374016	374016	77306037		
374017	374017	77306042		
374018	374018	77306043		
374019	374019	77306044		
374020	374020	77306045		
374021	374021	77306026		
374022	374022	77306027		
374023	374023	77306028		
374024	374024	77306029		
374025	374025	77306038		
374026	374026	77306039		
374027	374027	77306040		
374028	374028	77306041		
10001	373831	77306046		
10002	373832	77306047		
10003	373833	77306048		
10004	373834	77306049		
10005	373835	77306050		
10006	373836	77306051		
10007	373837	77306052		
10008	373838	77306053		
10009	373841	77306054	高位	调节高度
10010	373841	77306066	中位	调节高度
10011	373841	77306078	低位	调节高度
10012	373842	77306055	高位	调节高度
10013	373842	77306067	中位	调节高度
10014	373842	77306079	低位	调节高度
10015	373843	77306056	高位	调节高度
10016	373843	77306068	中位	调节高度
10017	373843	77306080	低位	调节高度
10018	373844	77306057	高位	调节高度
10019	373844	77306069	中位	调节高度
10020	373844	77306081	低位	调节高度
10021	373845	77306058	高位	调节高度
10022	373845	77306070	中位	调节高度
10023	373845	77306082	低位	调节高度
10024	373846	77306059	高位	调节高度
10025	373846	77306071	中位	调节高度
10026	373846	77306083	低位	调节高度
10027	373847	77306060	高位	调节高度
10028	373847	77306072	中位	调节高度
10029	373847	77306084	低位	调节高度
10030	373848	77306061	高位	调节高度
10031	373848	77306073	中位	调节高度
10032	373848	77306085	低位	调节高度
10033	373849	77306062	高位	调节高度
10034	373849	77306074	中位	调节高度
10035	373849	77306086	低位	调节高度
10036	373850	77306063	高位	调节高度
10037	373850	77306075	中位	调节高度
10038	373850	77306087	低位	调节高度
10039	373851	77306064	高位	调节高度
10040	373851	77306076	中位	调节高度
10041	373851	77306088	低位	调节高度
10042	373852	77306065	高位	调节高度
10043	373852	77306077	中位	调节高度
10044	373852	77306089	低位	调节高度
