RootGadgetID	类型	推荐配置	界面页签列表
70290175	2		1001,1002,1003,1004
77215027	1		1005,1006,1007
77215028	1		1005,1006,1007
77215029	1		1005,1006,1007
70290197	3		2001,2002,2003,2004,2005,2006
70290201	3		2001,2002,2003,2004,2005,2006
70290202	3		2001,2002,2003,2004,2005,2006
70290203	3		2001,2002,2003,2004,2005,2006
77215044	1		2001,2002,2003,2004,2005,2006
77215045	1		2001,2002,2003,2004,2005,2006
77215046	1		2001,2002,2003,2004,2005,2006
77215047	1		2001,2002,2003,2004,2005,2006
77215050	1	Recommend_Homeworld_General_Common_Thing_Prop_Irodori_Miniascape_01	3001,3002,3003,3004,3005,3006,3007,3008
77215051	1	Recommend_Homeworld_General_Common_Thing_Prop_Irodori_Miniascape_02	3001,3002,3003,3004,3005,3006,3007,3008
77215052	1	Recommend_Homeworld_General_Common_Thing_Prop_Irodori_Miniascape_03	3001,3002,3003,3004,3005,3006,3007,3008
77215053	1	Recommend_Homeworld_General_Common_Thing_Prop_Irodori_Miniascape_04	3001,3002,3003,3004,3005,3006,3007,3008
70290313	4		3001,3002,3003,3004,3005,3006,3007,3008
70290314	4		3001,3002,3003,3004,3005,3006,3007,3008
70290315	4		3001,3002,3003,3004,3005,3006,3007,3008
70290316	4		3001,3002,3003,3004,3005,3006,3007,3008
