ID	配置路径
1	TEST/TEST_Chest_CutSence
2	TEST/TEST_GoddessLvUp_CutSence
3	Scene_CutScene/Cs_Scene_GoddessUpgrade_01
4	Scene_CutScene/Cs_Scene_DungeonGate_01
5	Scene_CutScene/Cs_Scene_DungeonGate_02
6	Scene_CutScene/Cs_Scene_GoddessActive
7	Scene_CutScene/Cs_Scene_GoddessUpgradeDefault
8	Scene_CutScene/Cs_Scene_DragonNestSealGate
9	Scene_CutScene/Cs_MDAQ501_SwordBreak01
200201	Scene_CutScene/Cs_MDAQ071_DvalinCombat2
10	Scene_CutScene/Cs_MDAQ501_DvalinSealOpen01
11	Scene_CutScene/Cs_MDAQ501_DvalinSealOpen02
12	Scene_CutScene/Cs_MDAQ501_DvalinSealOpen03
13	Scene_CutScene/Cs_RecyclableDungeon_GetReward
14	Scene_CutScene/Cs_Scene_GoddessUpgradeDefault_SFX
15	Scene_CutScene/Cs_Scene_Goddess_Chord_Wind
16	Scene_CutScene/Cs_Scene_Goddess_Chord_Rock
17	Scene_CutScene/Cs_Scene_AncientBloodTreeUpgradeDefault
18	Scene_CutScene/Cs_Scene_AncientBloodTreeLvUp1
19	Scene_CutScene/Cs_Scene_AncientBloodTree_1To2
20	Scene_CutScene/Cs_Scene_AncientBloodTreeLvUp2
21	Scene_CutScene/Cs_Scene_AncientBloodTree_2To3
22	Scene_CutScene/Cs_Scene_DungeonGate_03
23	Scene_CutScene/Cs_Scene_DungeonGate_04
24	Scene_CutScene/Cs_Scene_Goddess_Chord_Thunder
25	Scene_CutScene/Cs_OffeRinGoRaioNoKaMi_First
26	Scene_CutScene/Cs_WQ72100_SealOfSakuraUnlock_01
27	Scene_CutScene/Cs_WQ72100_SealOfSakuraUnlock_02
28	Scene_CutScene/Cs_WQ72100_SealOfSakuraUnlock_03
29	Scene_CutScene/Cs_WQ72100_SealOfSakuraUnlock_04
30	Scene_CutScene/Cs_WQ72100_SealOfSakuraUnlock_05
31	Scene_CutScene/Cs_Scene_DQ_UnlockWell
32	Scene_CutScene/Cs_Scene_DungeonGate_05
33	Scene_CutScene/Cs_Scene_DQ_UnlockWoodFance_01
34	Scene_CutScene/Cs_Scene_DQ_UnlockWoodFance_02
35	Scene_CutScene/Cs_Scene_DQ_UnlockWoodFance_03
36	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_ActiveTower_DaSheChallangeIsland_01
37	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_ActiveTower_DaSheChallangeIsland_02
38	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_ActiveTower_DaSheChallangeIsland_03
39	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_ActiveTower_DaSheChallangeIsland_04
40	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_ActiveTower_LingMiaoChallangeIsland_01
41	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_ActiveTower_LingMiaoChallangeIsland_02
42	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_ActiveTower_LingMiaoChallangeIsland_03
44	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_ActiveTower_XiaJianChallangeIsland_01
45	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_ActiveTower_XiaJianChallangeIsland_02
46	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_ActiveTower_XiaJianChallangeIsland_03
47	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_ActiveTower_XiaJianChallangeIsland_04
48	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_MazeRotating
49	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_LingMiaoObserver
50	Scene_CutScene/Cs_WQ72239_DQ_AbyssalPalace_ElixirFlowerActive
51	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_UnlockAltar
52	Scene_CutScene/Cs_WQ72191_DQ_AbyssalPalace_ActiveKeyPattern
53	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_LinMiaoPuzzle_01
54	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_LinMiaoPuzzle_02
55	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_LinMiaoPuzzle_03
56	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_XiaJianLibPuzzle_01
57	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_XiaJianLibPuzzle_02
58	Scene_CutScene/Cs_Scene_DQ_AbyssalPalace_MazzUnlock
59	Scene_CutScene/Cs_DarkTowerCombine
60	Scene_CutScene/Cs_DarkTowerCombine_2
61	Scene_CutScene/Cs_DarkTowerCombine_3
62	Scene_CutScene/Cs_LQ_Rogue_LaserFiring
63	Scene_CutScene/Cs_LQ_Rogue_RuneDisplay
64	Scene_CutScene/Cs_YelanDungeon_OrganStart_01
65	Scene_CutScene/Cs_YelanDungeon_OrganStart_02
9999	Scene_CutScene/Cs_Common_BlackScreen_Convert
2101401	Scene_CutScene/Cs_LYIQ21014_LiYueShow
133104440	Scene_CutScene/Cs_Scene_LY_TripleCampSeals
133104488	Scene_CutScene/Cs_Scene_LY_CalcifPoolDungeonUnlock
133104585	Scene_CutScene/Cs_Scene_LY_TripleCampSeals_Unlocked
133103334	Scene_CutScene/Cs_Scene_LY_StoneNiddlesRiseField
300801601	Scene_CutScene/Cs_WQ70141_CelestiaClusterBigFocus
310301001	Scene_CutScene/Cs_Scene_LY_GuShiTaiPuzzle_01
310301002	Scene_CutScene/Cs_Scene_LY_GuShiTaiPuzzle_02
310301003	Scene_CutScene/Cs_Scene_LY_GuShiTaiPuzzle_03
310301004	Scene_CutScene/Cs_Scene_LY_GuShiTaiPuzzle_04
