台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	情绪模组ID	动作ID	眼睛表情路径	是否眨眼
8000101			1	96				
8000301			1	96				
8000401			1	1005				
8000501			1	1005				
8000601			1	1005				
8000701	8000702		1	1005				
8000702	8000703		1	1005				
8000703	8000704		1	1007				
8000704			1	1005				
8000801	8000802		1	1005				
8000802	8000803		1	1005				
8000803			1	1005				
8000901			1	1005				
8001001	8001002		1	1005				
8001002			1	1005				
8001101	8001102		1	1005				
8001102			1	1005				
8001201	8001202		1	1005				
8001202			1	1005				
8001301	8001302		1	1005				
8001302			1	1005				
8001401	8001402		1	1005				
8001402			1	1005				
8001501	8001502		1	1005				
8001502			1	1005				
8001601	8001602		1	1005				
8001602			1	1005				
8001701	8001702		1	1005				
8001702			1	1005				
8002201	8002202		1	1001				
8002202			1	1001				
8002301			1	1001				
10190201	10190202		1	1030				
10190202	10190203		1	1005				
10190203	10190204		1	1030				
10190204	10190205		1	1030				
10190205	10190206,10190207		1	1005				
10190206	10190208	1	2					
10190207	10190208	1	2					
10190208	10190209		1	1030				
10190209	10190210		1	1030				
10190210	10190211		1	1005				
10190211	10190212		1	1005				
10190212	10190213	1	2					
10190213	10190214		1	1005				
10190214	10190215		1	1005				
10190215	10190216	1	2					
10190216	10190217		1	1044				
10190217	10190218		1	1005				
10190218	10190219		1	1005				
10190219	10190220		1	1044				
10190220	10190221	1	2					
10190221	10190222		1	1044				
10190222	10190223		1	1005				
10190223	10190224		1	1049				
10190224	10190225		1	1044				
10190225	10190226		1	1005				
10190226	10190227		1	1044				
10190227	10190228		1	1049				
10190228	10190229		1	1005				
10190229	10190230	1	2					
10190230	10190231		1	1049				
10190231	10190232		1	1005				
10190232	10190233		1	1044				
10190233	10190234		1	1005				
10190234	10190235		1	1044				
10190235	10190236		1	1044				
10190236	10190237		1	1005				
10190237	10190238		1	1049				
10190238	10190239,10190240		1	1005				
10190239	10190241	1	2					
10190240	10190241	1	2					
10190241	10190242		1	1044				
10190242	10190243		1	1005				
10190243	10190244		1	1044				
10190244	10190245		1	1049				
10190245	10190246		1	1049				
10190246	10190247	1	1	1005				
10190247	10190248		1	1044				
10190248	10190249		1	1005				
10190249	10190250	1	2					
10190250	10190251		1	1044				
10190251	10190252		1	1044				
10190252	10190253		1	1005				
10190253	10190254		1	1049				
10190254	10190255		1	1049				
10190255	10190256		1	1044				
10190256	10190257,10190260		1	1044				
10190257	10190258	1	2					
10190258	10190259		1	1044				
10190259	10190264		1	1044				
10190260	10190261	1	2					
10190261	10190262		1	1044				
10190262	10190263		1	1005				
10190263	10190264		1	1044				
10190264	10190265		1	1049				
10190265	10190266	1	2					
10190266	10190267		1	1049				
10190267	10190268	1	2					
10190268	10190269	1	2					
10190269	10190270		1	1044				
10190270	10190271		1	1044				
10190271	10190272		1	1049				
10190272	10190273		1	1005				
10190273	10190274		1	1005				
10190274	10190275		1	1005				
10190275			1	1005				
10190301	10190302		1	1005				
10190302	10190303		1	1005				
10190303	10190304		1	1030				
10190304	10190305		1	1005				
10190305	10190306		1	1030				
10190306	10190307		1	1005				
