环境动物编号	实体类型	获得物品1ID	获得物品1数量	获得物品2ID	获得物品2数量	获得物品3ID	获得物品3数量	逃跑距离	逃跑时间	存活时间	不在指定天气下存在
70590006	19	100072	1					4	1	60	雨,雷雨,雪
28010101	2	100073	1								
28010102	2	100073	1								
28010103	2	100073	1								
70590007	19	100072	1					4	1	60	雨,雷雨,雪
70590008	19	100082	1					3	3	30	雨,雷雨,雪
28010201	2	100083	1								
28010202	2	100083	1								
28010203	2	100083	1								
28010301	2	100081	1								
28010302	2	100081	1								
28010303	2	100081	1								
28050101	2	100085	1								
28040101	2	100084	1								
28040102	2	100084	1								
28040103	2	100084	1								
28050102	2	100085	1								
28010204	2	100090	1								
28010205	2	100090	1								
28010206	2	100090	1								
28050103	2	100085	1								
28040104	2	100846	1								
28040105	2	100825	1								
28040106	2	100824	1								
28040107	2	100823	1								
28010104	2	100073	1								
28010105	2	100073	1								
28010106	2	101518	1								
28010207	2	100083	1								
70590038	19	100072	1					4	1	60	雨,雷雨,雪
70590039	19	100072	1					4	1	60	雨,雷雨,雪
70590040	19	100082	1					3	3	30	雨,雷雨,雪
28050104	2	100085	1								
28010401	2	100095	1								
28010403	2	100095	1								
28010402	2	100095	1								
28040108	2	101669	1								
28050105	2	101689	1								
28050301	2	100082	1	101713	1						
