等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值	[曲线]5类型	[曲线]5运算	[曲线]5值	[曲线]6类型	[曲线]6运算	[曲线]6值
1	1	2	5.367859	2	2	2.02052	12	2	1.01	17	2	2.02052	16	2	1	20	2	1
2	1	2	6.818905	2	2	2.32577	12	2	1.02	17	2	2.32577	16	2	2	20	2	1
3	1	2	8.421231	2	2	2.65371	12	2	1.03	17	2	2.65371	16	2	3	20	2	1
4	1	2	10.17484	2	2	3.00456	12	2	1.04	17	2	3.00456	16	2	4	20	2	1
5	1	2	12.07987	2	2	3.37863	12	2	1.05	17	2	3.37863	16	2	5	20	2	1
6	1	2	14.13796	2	2	3.77619	12	2	1.06	17	2	3.77619	16	2	6	20	2	1
7	1	2	16.34828	2	2	4.19745	12	2	1.07	17	2	4.19745	16	2	7	20	2	1
8	1	2	17.50736	2	2	4.58077	12	2	1.08	17	2	4.58077	16	2	8	20	2	1
9	1	2	19.26782	2	2	4.98102	12	2	1.09	17	2	4.98102	16	2	9	20	2	1
10	1	2	21.09865	2	2	5.39831	12	2	1.1	17	2	5.39831	16	2	10	20	2	1
11	1	2	24.06383	2	2	5.95895	12	2	1.11	17	2	5.95895	16	2	11	20	2	1
12	1	2	27.14657	2	2	6.54609	12	2	1.12	17	2	6.54609	16	2	12	20	2	1
13	1	2	30.34872	2	2	7.16003	12	2	1.13	17	2	7.16003	16	2	13	20	2	1
14	1	2	33.90172	2	2	7.829	12	2	1.14	17	2	7.829	16	2	14	20	2	1
15	1	2	37.58709	2	2	8.5272	12	2	1.15	17	2	8.5272	16	2	15	20	2	1
16	1	2	41.4068	2	2	9.255	12	2	1.16	17	2	9.255	16	2	16	20	2	1
17	1	2	46.00103	2	2	10.24456	12	2	1.17	17	2	10.24456	16	2	17	20	2	1
18	1	2	50.05359	2	2	11.26446	12	2	1.18	17	2	11.26446	16	2	18	20	2	1
19	1	2	54.18154	2	2	12.31476	12	2	1.19	17	2	12.31476	16	2	19	20	2	1
20	1	2	65.1649	2	2	13.31608	12	2	1.2	17	2	13.31608	16	2	20	20	2	1
