索引id	类型	参数1	参数2	参数3	参数4	单机是否需要预准备	单机预准备时长	联机是否需要预准备	联机预准备时长	预准备时是否允许玩家行动（默认否）	是否能够主动中断	SceneID	控制GroupID	GroupID	Group家具ID	复活点GroupID	复活点ConfigID	ability_group	ability_group列表	玩法限时	联机玩法传送点GroupId	联机玩法传送点ConfigId	联机玩法传送超时时间	联机玩法传送预加载GroupId	可选ability_groups	TeamAbilityGroup	team可选ability_groups	Group屏蔽默认修正等级
410001	20										1				376101					600								
410002	23										1				376151					100								
1001	1	70350172:0,70350173:20,70350174:100,70350175:-50	3	1:1.2,5:1.5		1	10	0			1	3	133003788	133003788		133003795	795002	ActivityAbility_WindFlora_BalloonShoot	ActivityAbility_WindFlora_BalloonShoot	150								
1003	1	70350172:0,70350173:20,70350174:100,70350175:-50	3	1:1.2,5:1.5		1	10	0			1	3	133003789	133003789		133003796	796002	ActivityAbility_WindFlora_BalloonShoot	ActivityAbility_WindFlora_BalloonShoot	150								
1004	1	70350172:0,70350173:20,70350174:100,70350175:-50	3	1:1.2,5:1.5		1	10	0			1	3	133002479	133002479		133002493	493002	ActivityAbility_WindFlora_BalloonShoot	ActivityAbility_WindFlora_BalloonShoot	150								
1005	1	70350172:0,70350173:20,70350174:100,70350175:-50	3	1:1.2,5:1.5		1	10	0			1	3	133004460	133004460		133004475	475002	ActivityAbility_WindFlora_BalloonShoot	ActivityAbility_WindFlora_BalloonShoot	180								
2001	2	70360137:35,70360138:200,70360139:400	70360139	10		1	10	0			1	3	133001591	133001591,133001592,133001593,133001594,133001595,133001596,133001598		133001591	591017	ActivityAbility_FleurFair_FlyBall	ActivityAbility_FleurFair_FlyBall	150								
2002	2	70360137:35,70360138:200,70360139:400	70360139	10		1	10	0			1	3	133001585	133001585,133001586,133001587,133001588,133001589,133001590,133001597		133001585	585017	ActivityAbility_FleurFair_FlyBall	ActivityAbility_FleurFair_FlyBall	160								
2003	2	70360137:35,70360138:200,70360139:400	70360139	10		1	10	0			1	3	133004465	133004465,133004466,133004467,133004468,133004469,133004470,133004473		133004465	465017	ActivityAbility_FleurFair_FlyBall	ActivityAbility_FleurFair_FlyBall	140								
2004	2	70360137:35,70360138:200,70360139:400	70360139	10		1	10	0			1	3	133004453	133004453,133004454,133004455,133004456,133004457,133004458,133004472		133004453	453017	ActivityAbility_FleurFair_FlyBall	ActivityAbility_FleurFair_FlyBall	140								
5001	3					0		0			0	3																
5002	3					0		0			0	3	133209014	133209007					DynamicAbility_ArenaChallenge2_FallingDamage_Aoe									1
5003	3					0		0			0	3	133209014	133209008														1
