configid	场景ID	子区域	区域类型	区域名称$text_name_name	区域舒适度上限	安全点	负荷高	区域中心	区域旋转
1	2001	1	1	镇风岛	999999999	800,316,190,160	10000	0,0,0	0,0,0
2	2001	2	1	枕云岛	999999999	715,342,347,70	10000	0,0,0	0,0,0
3	2001	3	1	济烟岛	999999999	454,439,555,70	10000	0,0,0	0,0,0
4	2001	4	1	燎雾岛	999999999	150,525,800,70	10000	0,0,0	0,0,0
5	2002	1	1	数春峰	999999999	332,396,701,0	10000	0,0,0	0,0,0
6	2002	2	1	捉夏峰	999999999	376,411,572,-200	10000	0,0,0	0,0,0
7	2002	3	1	抱秋峰	999999999	565,443,544,-266	10000	0,0,0	0,0,0
8	2002	4	1	扫冬峰	999999999	540,460,475,-86	10000	0,0,0	0,0,0
9	2003	1	1	珠玑岛	999999999	555,228,600,-60	10000	0,0,0	0,0,0
10	2003	2	1	贝阙岛	999999999	266,201,487,60	10000	0,0,0	0,0,0
11	2003	3	1	蜃云岛	999999999	732,209,647,100	10000	0,0,0	0,0,0
12	2003	4	1	鱼笺岛	999999999	736,200,405,135	10000	0,0,0	0,0,0
13	2201	1	0	大厅	999999999	-11,2.48,1.25,45	10000	0,0,0	0,0,0
14	2201	2	0	东南侧内房	999999999	-11,2.48,1.25,45	4000	-12.5,0,-5	0,90,0
15	2201	3	0	西南侧内房	999999999	-11,2.48,1.25,45	4000	-5,0,-15	0,0,0
16	2201	4	0	北侧内房	999999999	-11,2.48,1.25,45	4000	7.5,0,12.5	0,90,0
17	2201	5	0	走廊	999999999	-11,2.48,1.25,45	10000	0,5.3,0	0,0,0
18	2201	6	0	二层东南侧内房	999999999	-11,2.48,1.25,45	4000	-12.5,5.3,-5	0,90,0
19	2201	7	0	二层西北侧内房	999999999	-11,2.48,1.25,45	4000	5,5.3,15	0,0,0
20	2202	1	0	大厅	999999999	-6.57,3.47,14,135	10000	0,0,0	0,0,0
21	2202	2	0	东南侧内房	999999999	-6.57,3.47,14,135	4000	-12.5,0,-10	0,0,0
22	2202	3	0	南侧内房	999999999	-6.57,3.47,14,135	4000	-12.5,0,5	0,-180,0
23	2202	4	0	北侧内房	999999999	-6.57,3.47,14,135	4000	12.5,0,5	0,-180,0
24	2202	5	0	走廊	999999999	-6.57,3.47,14,135	10000	0,5.3,0	0,0,0
25	2202	6	0	二层南侧内房	999999999	-6.57,3.47,14,135	4000	-17.5,5.3,0	0,90,0
26	2202	7	0	二层北侧内房	999999999	-6.57,3.47,14,135	4000	17.5,5.3,0	0,90,0
27	2203	1	0	大厅	999999999	-11.457,2.492,8.14,0	10000	2,0,0	0,90,0
28	2203	2	0	西侧内房	999999999	-11.457,2.492,8.14,0	4000	2,0,10	0,90,0
29	2203	3	0	南侧内房	999999999	-11.457,2.492,8.14,0	4000	-13,0,-5	0,90,0
30	2203	4	0	北侧内房	999999999	-11.457,2.492,8.14,0	4000	12,0,5	0,-90,0
31	2203	5	0	走廊	999999999	-11.457,2.492,8.14,0	10000	-10.5,5.3,0	0,-180,0
32	2203	6	0	二层北侧内房	999999999	-11.457,2.492,8.14,0	4000	-3,5.3,0	0,-90,0
33	2203	7	0	二层南侧内房	999999999	-11.457,2.492,8.14,0	4000	-18,5.3,-5	0,90,0
34	2004	1	1	霞见滩	999999999	216.93,186.522,463.9,0	10000	0,0,0	0,0,0
35	2004	2	1	浅寐岛	999999999	270.629,203.8919,375.064,0	10000	0,0,0	0,0,0
36	2004	3	1	樱咲岛	999999999	522.392,192.5,557.753,0	10000	0,0,0	0,0,0
37	2004	4	1	和静台	999999999	661.269,203.5,718.153,0	10000	0,0,0	0,0,0
