ID	城市ID	难度	RegionId	完成奖励ID
1	1	0	101	2010101
2	1	1	101	2010102
3	1	2	101	2010103
4	1	0	102	2010101
5	1	1	102	2010102
6	1	2	102	2010103
7	1	0	103	2010101
8	1	1	103	2010102
9	1	2	103	2010103
10	1	0	104	2010101
11	1	1	104	2010102
12	1	2	104	2010103
13	2	0	201	2020101
14	2	1	201	2020102
15	2	2	201	2020103
16	2	0	202	2020101
17	2	1	202	2020102
18	2	2	202	2020103
19	2	0	203	2020101
20	2	1	203	2020102
21	2	2	203	2020103
22	2	0	204	2020101
23	2	1	204	2020102
24	2	2	204	2020103
25	3	0	301	2030101
26	3	1	301	2030102
27	3	2	301	2030103
28	3	0	302	2030101
29	3	1	302	2030102
30	3	2	302	2030103
31	3	0	303	2030101
32	3	1	303	2030102
33	3	2	303	2030103
34	3	0	304	2030101
35	3	1	304	2030102
36	3	2	304	2030103
