父任务ID	合集ID	父任务组	任务类型	启用模式	Lua脚本路径	推荐等级	可重复	任务奖励RewardID	章节ID	事件ID	活动类型	VideoKey
800			7	1	Actor/Quest/WQ800							
1019	1014	1207		1	Actor/Quest/AQ1019			101019	1207			
1027	1014	1207		1	Actor/Quest/AQ1027							
1028	1014	1207		1	Actor/Quest/AQ1028			101028	1207			
1029	1014	1207		1	Actor/Quest/AQ1029			101029	1207			
1030	1014	1207		1	Actor/Quest/AQ1030			101030	1207			
1031	1014	1207		1	Actor/Quest/AQ1031			101031	1207			3303136414174011
1032	1014	1207		1	Actor/Quest/AQ1032							
1033	1014	1207		1	Actor/Quest/AQ1033							
2000	1008	1201		1	Actor/Quest/AQ2000			102000	1201			
2001	1008	1201		1	Actor/Quest/AQ2001			102001	1201			
2002	1008	1201		1	Actor/Quest/AQ2002			102002	1201			
2003	1009	1201		1	Actor/Quest/AQ2003			102003	1202			
2004	1009	1201		1	Actor/Quest/AQ2004			102004	1202			
2005	1009	1201		1	Actor/Quest/AQ2005			102005	1202			
2006	1009	1201		1	Actor/Quest/AQ2006			102006	1202			
2007	1009	1201		1	Actor/Quest/AQ2007			102007	1202			
2008	1010	1201		1	Actor/Quest/AQ2008			102008	1203			
2009	1010	1201		1	Actor/Quest/AQ2009			102009	1203			
2010	1011	1210		1	Actor/Quest/AQ2010			102010	1204			
2011	1009			1	Actor/Quest/AQ2011			102011	1202			
2012	1009			1	Actor/Quest/AQ2012			102012	1202			
2013	1009			1	Actor/Quest/AQ2013			102013	1202			
2014	1011	1210		1	Actor/Quest/AQ2014			102014	1204			
2015	1011	1210		1	Actor/Quest/AQ2015			102015	1204			
2016	1011	1210		1	Actor/Quest/AQ2016			102016	1204			
2017	1011	1210		1	Actor/Quest/AQ2017			102017	1204			
2018	1011	1210		1	Actor/Quest/AQ2018			102018	1204			
2019	1011	1210		1	Actor/Quest/AQ2019			102019	1204			
2020	1011	1210		1	Actor/Quest/AQ2020			102020	1204			
2021	1011	1210		1	Actor/Quest/AQ2021			102021	1204			
2022	1010			1	Actor/Quest/AQ2022							
2023	1009				Actor/Quest/AQ2023							
2024	8003	1210			Actor/Quest/AQ2024				1204			
2025	1009				Actor/Quest/AQ2025							
8000	1007	1104		1	Actor/Quest/AQ8000			108000	1104			
8001	1007	1104		1	Actor/Quest/AQ8001			108001	1104			
8002	1007	1104		1	Actor/Quest/AQ8002			108002	1104			
8003	1007	1104		1	Actor/Quest/AQ8003			108003	1104			
8004	1012	1206		1	Actor/Quest/AQ8004			108004	1206			
8005	1012	1206		1	Actor/Quest/AQ8005			108005	1206			
8006	1012	1206		1	Actor/Quest/AQ8006			108006	1206			
8007	1012	1206		1	Actor/Quest/AQ8007			108007	1206			
8008	1012			1	Actor/Quest/AQ8008			108008				
10001	2005		2	1								
10120	2019	2019	2	1	Actor/Quest/LQ10120			110120	2019			
10121	2019	2019	2	1	Actor/Quest/LQ10121			110121	2019			
10122	2019	2019	2	1	Actor/Quest/LQ10122			110122	2019			
10500	2010	2010	2	1	Actor/Quest/LQ10500			110500	2010			
10501	2010	2010	2	1	Actor/Quest/LQ10501			110501	2010			
10502	2010	2010	2	1	Actor/Quest/LQ10502			110502	2010			
10503	2010	2010	2	1					2010			
11008	5002		7	1	Actor/Quest/WQ11008			111008				
11009	1013	1205		1	Actor/Quest/AQ11009			111009	1205			
11010	2012	2012	2	1	Actor/Quest/LQ11010			111010	2012			
11011	2012	2012	2	1	Actor/Quest/LQ11011			111011	2012			
11012	2012	2012	2	1	Actor/Quest/LQ11012			111012	2012			
11013	1013	1205		1	Actor/Quest/AQ11013			111013	1205			
11014	1013	1205		1	Actor/Quest/AQ11014			111014	1205			
11015	1013	1205		1	Actor/Quest/AQ11015			111015	1205			
11016	1013	1205		1	Actor/Quest/AQ11016				1205			
11017	1013	1205		1	Actor/Quest/AQ11017				1205			
11018	2028	2029	2	1	Actor/Quest/LQ11018			111018	2029			
11019	2028	2029	2	1	Actor/Quest/LQ11019			111019	2029			
11020	2014	2014	2	1	Actor/Quest/LQ11020			111020	2014			
11021	2014	2014	2	1	Actor/Quest/LQ11021			111021	2014			
