名字编号	名字库编号	是否用于随机	编辑器可用
10001	10001		1
10002	10001		1
10003	10001		1
10004	10001		1
10005	10001		1
10006	10001		1
10007	10001		1
10008	10001		1
10009	10001		1
10010	10001		1
10011	10001		1
10012	10001		1
10013	10001		1
10014	10001		1
10015	10001		1
10016	10001		1
10017	10001		1
10018	10001		1
10019	10001		1
10020	10001		1
10021	10001		1
10022	10001		1
10023	10001		1
10024	10001		1
10025	10001		1
10026	10001		1
10027	10001		1
10028	10001		1
10029	10001		1
10030	10001		1
10031	10001		1
10032	10001		1
10033	10001		1
10034	10001		1
10035	10001		1
10036	10001		1
10037	10001		1
10038	10001		1
10039	10001		1
10040	10001		1
10041	10001		1
10042	10001		1
10043	10001		1
10044	10001		1
10045	10001		1
10046	10001		1
10047	10001		1
10048	10001		1
10049	10001		1
10050	10001		1
10051	10001		1
10052	10001		1
10053	10001		1
10054	10001		1
10055	10001		1
10056	10001		1
10057	10001		1
10058	10001		1
10059	10001		1
10060	10001		1
10061	10001		1
10062	10001		1
10063	10001		1
10064	10001		1
10065	10001		1
10066	10001		1
10067	10001		1
10068	10001		1
10069	10001		1
10070	10001		1
10071	10001		1
10072	10001		1
10073	10001		1
10074	10001		1
10075	10001		1
10076	10001		1
10077	10001		1
10078	10001		1
10079	10001		1
10080	10001		1
10081	10001		1
10082	10001		1
10083	10001		1
10084	10001		1
10085	10001		1
10086	10001		1
10087	10001		1
10088	10001		1
10089	10001		1
10090	10001		1
10091	10001		1
10092	10001		1
10093	10001		1
10094	10001		1
10095	10001		1
10096	10001		1
10097	10001		1
10099	10001		1
10100	10001		1
10101	10001		1
10102	10001		1
10103	10001		1
10104	10001		1
10105	10001		1
10106	10001		1
10107	10001		1
10108	10001		1
10109	10001		1
10110	10001		1
10111	10001		1
10112	10001		1
10113	10001		1
10114	10001		1
10115	10001		1
10116	10001		1
10117	10001		1
10118	10001		1
10119	10001		1
10120	10001		1
10121	10001		1
10122	10001		1
10123	10001		1
10124	10001		1
10125	10001		1
10126	10001		1
10127	10001		1
10128	10001		1
10129	10001		1
10130	10001		1
10131	10001		1
10137	10001		1
10138	10001		1
10139	10001		1
10140	10001		1
1	101		1
2	101		1
3	111		1
4	111		1
5	121		1
6	131		1
7	141		1
8	151		1
9	152		1
10	142		1
11	153		1
12	1001		
13	1101		
14	1102		
15	1103		
16	1111		
17	1201		
18	2101		
19	2111	1	
20	2111	1	
21	2111	1	
22	2112	1	
23	2112	1	
24	2112	1	
25	2201	1	
26	2201	1	
27	2201	1	
28	2201	1	
29	2201	1	
30	2201	1	
31	2201	1	
32	2201	1	
33	2202	1	
34	2221		
35	2001		
36	2002		
37	2003		
38	2004		
39	2005		
40	2006		
41	3001		
42	3090		
43	3101	1	
44	3101	1	
45	3101	1	
46	3101	1	
47	3101	1	
48	3101	1	
49	3101	1	
50	3101	1	
51	3101	1	
52	3101	1	
53	3101	1	
54	3101	1	
55	3101	1	
56	3101	1	
57	3101	1	
58	3101	1	
59	3101	1	
60	3101	1	
61	3101	1	
62	3101	1	
63	3101	1	
64	3101	1	
65	3101	1	
66	3101	1	
67	3101	1	
68	3101	1	
69	3101	1	
70	3101	1	
71	3101	1	
72	3101	1	
73	3101	1	
74	3111	1	
75	3112	1	
76	3113	1	
77	3201	1	
78	3201	1	
79	3201	1	
80	3201	1	
81	3201	1	
82	3201	1	
83	3202	1	
84	3202	1	
85	3202	1	
86	3202	1	
87	3202	1	
88	3202	1	
89	3202	1	
90	3203	1	
91	3203	1	
92	3203	1	
93	3203	1	
94	3203	1	
95	3203	1	
96	3203	1	
97	3204	1	
98	3204	1	
99	3204	1	
100	3204	1	
101	3204	1	
