排期id	开始时间	结束时间	活动id	允许快速开启	快速开启前置父任务ID组	[条件]组合	[条件]1类型	[条件]1参数	[条件]2类型	[条件]2参数	[条件]3类型	[条件]3参数	[条件]4类型	[条件]4参数	活动归属版本
1	2023-04-01 04:00:00	2023-04-16 04:00:00	1001												
5001001	2023-10-01 04:00:00	2023-10-07 04:00:00	5001				1	19	2	38406					0.9.5
5002001	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							1.0.0
5002002	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							1.0.0
5002003	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							1.1.0
5002004	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							1.1.0
5002005	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							1.2.0
5002006	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							1.2.0
5002007	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							1.3.0
5002008	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							1.3.0
5002009	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							1.4.0
5002010	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							1.4.0
5002011	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							1.3.0
5002012	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							1.5.0
5002013	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							1.5.0
5002014	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							1.6.0
5002015	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							1.6.0
5002016	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							2.0.0
5002017	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							2.0.0
5002018	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							2.1.0
5002019	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							2.1.0
5002020	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							2.2.0
5002021	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							2.2.0
5002022	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							2.3.0
5002023	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							2.3.0
5002024	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							2.4.0
5002025	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							2.4.0
5002026	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							2.5.0
5002027	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							2.5.0
5002028	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							2.6.0
5002029	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							2.6.0
5002030	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							2.7.0
5002031	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							2.7.0
5002032	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							2.8.0
5002033	2023-10-01 04:00:00	2023-10-07 04:00:00	5002			1	2	2010001							2.8.0
5003001	2023-10-01 04:00:00	2023-10-07 04:00:00	5003			1	1	11							1.0.0
2001001	2023-10-01 04:00:00	2023-10-07 04:00:00	2001				1	19							1.1.0
5004001	2023-10-01 04:00:00	2023-10-07 04:00:00	5004												1.0.0
5005001	2023-10-01 04:00:00	2023-10-07 04:00:00	5005				1	15	2	38406					1.0.0
5001002	2023-10-01 04:00:00	2023-10-07 04:00:00	5001				1	19	2	38406					0.9.5
5006001	2023-10-01 04:00:00	2023-10-07 04:00:00	5006												1.1.0
5007001	2023-10-01 04:00:00	2023-10-07 04:00:00	5007				1	19							1.1.0
5001003	2023-10-01 04:00:00	2023-10-07 04:00:00	5001				1	19	2	38406					1.0.0
3001001	2023-10-01 04:00:00	2023-10-07 04:00:00	3001				1	19							1.2.0
5008001	2023-10-01 04:00:00	2023-10-07 04:00:00	5008												1.1.0
5009001	2023-10-01 04:00:00	2023-10-07 04:00:00	5009												1.1.0
5010001	2023-10-01 04:00:00	2023-10-07 04:00:00	5010												1.1.0
5011001	2023-10-01 04:00:00	2023-10-07 04:00:00	5011				1	19	2	35001					1.2.0
5012001	2023-10-01 04:00:00	2023-10-07 04:00:00	5012			1	1	11							1.2.0
5012002	2023-10-01 04:00:00	2023-10-07 04:00:00	5012			1	1	11							1.4.0
5012003	2023-10-01 04:00:00	2023-10-07 04:00:00	5012			1	1	11							2.3.0
5012004	2023-10-01 04:00:00	2023-10-07 04:00:00	5012			1	1	11							2.6.0
5014001	2023-10-01 04:00:00	2023-10-07 04:00:00	5014				1	19							1.2.0
5015001	2023-10-01 04:00:00	2023-10-07 04:00:00	5015												1.2.0
5016001	2023-10-01 04:00:00	2023-10-07 04:00:00	5016				1	19							1.3.0
5017001	2023-10-01 04:00:00	2023-10-07 04:00:00	5017				1	19							1.3.0
2002001	2023-10-01 04:00:00	2023-10-07 04:00:00	2002				1	22							1.3.0
6002001	2023-10-01 04:00:00	2023-10-07 04:00:00	6002												1.3.0
6003001	2023-10-01 04:00:00	2023-10-07 04:00:00	6003				1	4							1.4.0
5018001	2023-10-01 04:00:00	2023-10-07 04:00:00	5018												1.3.0
5019001	2023-10-01 04:00:00	2023-10-07 04:00:00	5019				1	19							1.4.0
2003001	2023-10-01 04:00:00	2023-10-07 04:00:00	2003				1	19							1.4.0
5020001	2023-10-01 04:00:00	2023-10-07 04:00:00	5020				1	19							1.4.0
5021001	2023-10-01 04:00:00	2023-10-07 04:00:00	5021				1	25							1.4.0
2004001	2023-10-01 04:00:00	2023-10-07 04:00:00	2004				1	19							1.5.0
5022001	2023-10-01 04:00:00	2023-10-07 04:00:00	5022				1	19							1.5.0
5023001	2023-10-01 04:00:00	2023-10-07 04:00:00	5023				1	19							1.5.0
5024001	2023-10-01 04:00:00	2023-10-07 04:00:00	5024				1	19							1.5.0
5025001	2023-10-01 04:00:00	2023-10-07 04:00:00	5025												1.5.0
5026001	2023-10-01 04:00:00	2023-10-07 04:00:00	5026				2	2003004							1.5.0
5027001	2023-10-01 04:00:00	2023-10-07 04:00:00	5027												1.5.0
2005001	2023-10-01 04:00:00	2023-10-07 04:00:00	2005				1	20							1.6.0
5028001	2023-10-01 04:00:00	2023-10-07 04:00:00	5028				1	25							1.5.0
5029001	2023-10-01 04:00:00	2023-10-07 04:00:00	5029												1.5.0
5030001	2023-10-01 04:00:00	2023-10-07 04:00:00	5030				1	20							1.6.0
5031001	2023-10-01 04:00:00	2023-10-07 04:00:00	5031				1	19							1.6.0
5032001	2023-10-01 04:00:00	2023-10-07 04:00:00	5032				1	20							1.6.0
5033001	2023-10-01 04:00:00	2023-10-07 04:00:00	5033				1	20							1.6.0
6005001	2023-10-01 04:00:00	2023-10-07 04:00:00	6005				1	29	2	800311					1.6.0
6006001	2023-10-01 04:00:00	2023-10-07 04:00:00	6006				1	29							2.0.0
5034001	2023-10-01 04:00:00	2023-10-07 04:00:00	5034				1	29							2.0.0
5035001	2023-10-01 04:00:00	2023-10-07 04:00:00	5035				1	29							2.0.0
2006001	2023-10-01 04:00:00	2023-10-07 04:00:00	2006				1	29							2.0.0
5036001	2023-10-01 04:00:00	2023-10-07 04:00:00	5036				1	29							2.0.0
5037001	2023-10-01 04:00:00	2023-10-07 04:00:00	5037				1	29							2.0.0
5038001	2023-10-01 04:00:00	2023-10-07 04:00:00	5038												2.0.0
5039001	2023-10-01 04:00:00	2023-10-07 04:00:00	5039												2.0.0
5040001	2023-10-01 04:00:00	2023-10-07 04:00:00	5040				1	29							2.1.0
5041001	2023-10-01 04:00:00	2023-10-07 04:00:00	5041				1	29							2.1.0
2007001	2023-10-01 04:00:00	2023-10-07 04:00:00	2007				1	27							2.1.0
5042001	2023-10-01 04:00:00	2023-10-07 04:00:00	5042				1	29							2.1.0
5043001	2023-10-01 04:00:00	2023-10-07 04:00:00	5043				1	29							2.1.0
5044001	2023-10-01 04:00:00	2023-10-07 04:00:00	5044				1	29							2.1.0
5045001	2023-10-01 04:00:00	2023-10-07 04:00:00	5045												2.1.0
5046001	2023-10-01 04:00:00	2023-10-07 04:00:00	5046												2.1.0
