ID	名称$text_name_Name	Prefab路径	Prefab_Remote路径	Controller路径	Controller_Remote路径	默认阵营	JSON名称	JSON路径文件名	能否战斗	能否移动	能否发声	是否常驻	角色npc初见分组
510	久岐忍	ART/Char/NPC/NPC_Avatar_Coop/NPC_Coop_Avatar_Girl_Sword_Shinobu/NPC_Coop_Avatar_Girl_Sword_Shinobu				2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove		1	1		65
511	鹿野院平藏	ART/Char/NPC/NPC_Avatar_Coop/NPC_Coop_Avatar_Boy_Catalyst_Heizo/NPC_Coop_Avatar_Boy_Catalyst_Heizo				2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove_Heizo		1	1		59
1047	神里绫人	ART/Char/NPC/NPC_Avatar/NPC_Avatar_Male_Sword_Ayato				2001		ConfigNpc_Common_AnimatorMove		1	1		66
1048	夜兰	ART/Char/NPC/NPC_Avatar/NPC_Avatar_Lady_Bow_Yelan				2001		ConfigNpc_Common_AnimatorMove		1	1		60
1049	久岐忍	ART/Char/NPC/NPC_Avatar/NPC_Avatar_Girl_Sword_Shinobu				2001		ConfigNpc_Common_AnimatorMove		1	1		65
1057	鹿野院平藏	ART/Char/NPC/NPC_Avatar/NPC_Avatar_Boy_Catalyst_Heizo				2001		ConfigNpc_Common_AnimatorMove		1	1		59
1700	安娜	ART/Char/NPC/NPC_Mengde/NPC_Mengde_Female/NPC_Mengde_Female_Standard_Anna_1700				2001		ConfigNpc_Common_AnimatorMove_Female		1	1	1	
2000	阿望	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Standard_Wang_2000				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
2061	沐宁	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Standard_Muning_2061				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
2151	铁弘	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Standard_Tiehong_2151				2001		ConfigNpc_Common_AnimatorMove_Male_NoAction		1	1	1	
2152	老臭	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Fat_Stinky_2152				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
2153	天奕	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Standard_Tianyi_2153				2001		ConfigNpc_Common_AnimatorMove_Male_NoAction		1	1	1	
