ID	注释	客机不可交互时是否显示按钮	操作解除联机匹配	交互后禁用切换角色时长
1				
2				
3				
4				
5				
6				
7				
8				
9				
10				
11				
12				
13				
14				
15				
16				
24				
25	测试用			
30				
31				
33	关卡事件用			
34	关卡事件用			
35	通用			
36	陨石活动任务用			
37	白垩与黑龙活动用			
38	白垩与黑龙活动用			
39	藏宝图活动用			
40	藏宝图活动用			
41	1.3机关大作战白盒用			
42	1.3机关大作战白盒用			
43	1.3机关大作战白盒用			
44	1.3机关大作战白盒用			
45	1.3机关大作战白盒用			
46	1.3机关大作战白盒用			
47	1.2雪山玩法			
48	1.3机关大作战白盒用			
49	1.3机关大作战白盒用			
50	1.3机关大作战白盒用			
51	1.3海灯图玩法用			
52	1.3海灯图玩法用			
53	1.3海灯图玩法用			
54	2.0稻妻能量放大器	1		
55	2.0稻妻能量放大器	1		
56	2.0稻妻能量放大器	1		
57	2.0稻妻电桩玩法	1		
58	1.5角色试玩活动 符文点亮前	1		
59	1.5角色试玩活动 符文点亮后	1		
60	1.6开船时的打捞交互按钮			
61	2.1海祗岛激活海神尊像			
62	2.1海祗岛关闭海神尊像			
63	2.1海祗岛打开神龛			
64	2.1海祗岛获取海神精血			
65	2.1海祗岛海神之牙挑战			
66	1.6高水位浪船锚点替代物			
67	藏宝图活动用			
68	2.0拾取零件			
69	2.0拔出刀剑			
70	2.0拔出刀剑			
71	2.0取出异物			
72	2.0关闭晶石			
73	2.0勾玉供桌			
74	2.0料理王			
75	2.0离岛走私密道-走私营地处			
76	2.0离岛走私密道-离岛居民处			
77	2.0离岛走私船			
78				
79				
80				
81				
82				
83				
84				
85	2.0回收信标			
86	2.0维修栈桥			
87	2.1海祗岛海祗神社取水			
88	2.1放烟花委托			
89	2.1镇石			
90	2.1镇石			
91	2.1镇石纸垂用			
92	2.2挖矿活动用			
93	2.4凝光Coop用			
94	2.4海灯节营地			
95	2.4每日委托小蒙线			
96	2.4铜雀庙敬香			
97	2.4龙骨花浇灌			
98	2.4主线地城交互石块			
99	2.6层岩挖掘玩法			
169	测试用			
170				
171	测试用			
173				
174				
175	爬塔用			
176	爬塔用			
177	爬塔用			
178				
179				
180				
181				
182				
183				
184				
185				
186				
187	大世界循环			
188	钙化池主题玩法			
189	陨石活动			
190	2.6拍照活动			
191	2.6容彩祭支线			
192	2.8拍电影WQ			
193	2.7夜兰地城雕像交互			
194	2.8 海岛活动主线			
195	2.8 海岛活动主线			
196	2.8 海岛活动主线			
197	2.8 海岛活动主线			
198	2.7 旋转地城 奇点			6
199	2.8 海岛活动主线			
201	测试用			
202	测试用			
203	测试用			
204	璃月二取水交互			
205	莫娜线魔法封印交互			
210				
211				
212	温迪线破剑交互			
213	陨石活动任务核心交互			
214	雪山联机激活玩法	1		
215	羽球玩法用			
216	羽球玩法用			
217	羽球玩法用			
218	羽球玩法用			
219	羽球玩法用			
301	鹤观移动符文石用			
302	鹤观移动符文石用			
303	鹤观移动符文石用			
304	鹤观移动符文石用			
305	鹤观移动符文石用			
306	鹤观移动符文石用			
307	鹤观移动符文石用			
308	鹤观移动符文石用			
309	鹤观移动符文石用			
310	鹤观移动符文石用			
321	鹤观 栖木交互			
322	鹤观 栖木交互			
323	鹤观 挖掘			
324	一斗线机关			
325	group家具计时器	1		
326	group计分家具	1		
327	group寻物家具	1		
330	UGC地城编辑用			
331	2.6须弥树根			
401	2.8群鸦剧场一阶段			
402	2.8群鸦剧场一阶段			
403	2.8群鸦剧场二阶段			
404	2.8群鸦剧场二阶段			
405	2.5调饮品活动开张			
406	2.6蘑菇任务			
