ID	等级ID	城市	下一级所需声望值	解锁奖励	居民请求GroupId	居民请求数	领取居民请求上限
1	1	1	400	2010001	5	3	3
2	2	1	420	2010002	5	3	3
3	3	1	440	2010003	5	3	3
4	4	1	460	2010004	5	3	3
5	5	1	480	2010005	1	3	3
6	6	1	500	2010006	1	3	3
7	7	1	520	2010007	1	3	3
8	8	1	0	2010008	1	3	3
9	1	2	400	2020001	6	3	3
10	2	2	420	2020002	6	3	3
11	3	2	440	2020003	6	3	3
12	4	2	460	2020004	6	3	3
13	5	2	480	2020005	3	3	3
14	6	2	500	2020006	3	3	3
15	7	2	520	2020007	3	3	3
16	8	2	0	2020008	3	3	3
17	1	3	450	2030001	11	3	3
18	2	3	500	2030002	11	3	3
19	3	3	550	2030003	11	3	3
20	4	3	600	2030004	11	3	3
21	5	3	650	2030005	10	3	3
22	6	3	700	2030006	10	3	3
23	7	3	750	2030007	10	3	3
24	8	3	800	2030008	10	3	3
25	9	3	850	2030009	10	3	3
26	10	3	0	2030010	10	3	3
