ID	家具ID	场景ID	物件ID1	物件ID2	物件ID3	物件ID4	物件ID5	物件ID6	物件ID7	物件ID8	物件ID9	物件ID10
1	360101	2201	77101017	77101003	77101014	77101023	77101020	77101003	77101014			
2	360101	2202	77101007	77101003	77101003	77101003	77101011	77101003	77101004			
3	360102	2202	77101033	77101026	77101026	77101026	77101036	77101026	77101027			
4	360102	2201	77101039	77101026	77101030	77101045	77101042	77101026	77101030			
5	360201	2201	77101016	77101002	77101013	77101022	77101019	77101002	77101013			
6	360201	2202	77101006	77101002	77101002	77101002	77101009	77101002	77101048			
7	360202	2202	77101032	77101025	77101025	77101025	77101035	77101025	77101050			
8	360202	2201	77101038	77101025	77101029	77101044	77101041	77101025	77101029			
9	360301	2201	77101015	77101001	77101012	77101021	77101018	77101001	77101012			
10	360301	2202	77101005	77101001	77101001	77101001	77101008	77101001	77101047			
11	360302	2202	77101031	77101024	77101024	77101024	77101034	77101024	77101049			
12	360302	2201	77101037	77101024	77101028	77101043	77101040	77101024	77101028			
13	360401	2201		77108001	77108001	77108001	77108001	77108001	77108001			
14	360401	2202		77108001	77108001	77108001	77108001	77108001	77108001			
15	360401	2203	77108001	77108001	77108001	77108001		77108001	77108001			
16	360402	2202		77108007	77108007	77108007	77108007	77108007	77108007			
17	360402	2201		77108007	77108007	77108007	77108007	77108007	77108007			
18	360402	2203	77108007	77108007	77108007	77108007		77108007	77108007			
19	360403	2201		77108008	77108008	77108008	77108008	77108008	77108008			
20	360403	2202		77108008	77108008	77108008	77108008	77108008	77108008			
21	360403	2203	77108008	77108008	77108008	77108008		77108008	77108008			
22	360404	2201		77108002	77108002	77108002	77108002	77108002	77108002			
23	360404	2202		77108002	77108002	77108002	77108002	77108002	77108002			
24	360404	2203	77108002	77108002	77108002	77108002		77108002	77108002			
25	364301	2201	77101053	77101053	77101053	77101053	77101053	77101053	77101053			
26	364301	2202	77101053	77101053	77101053	77101053	77101053	77101053	77101053			
27	360405	2201		77108010	77108010	77108010	77108010	77108010	77108010			
28	360405	2202		77108010	77108010	77108010	77108010	77108010	77108010			
29	360405	2203	77108010	77108010	77108010	77108010		77108010	77108010			
30	364302	2201	77101054	77101054	77101054	77101054	77101054	77101054	77101054			
31	364302	2202	77101054	77101054	77101054	77101054	77101054	77101054	77101054			
32	364401	2201	77101051									
33	364401	2202	77101010									
34	364402	2201	77101046									
35	364402	2202	77101052									
36	360103	2203	77101070	77101073	77101067	77101067	77101082	77101076	77101079			
37	360303	2203	77101069	77101072	77101066	77101066	77101081	77101075	77101078			
38	360203	2203	77101071	77101074	77101068	77101068	77101083	77101077	77101080			
39	364403	2203	77101084									
40	364303	2203	77101060	77101060	77101060	77101060	77101060	77101060	77101060			
41	360101	2203	77101092	77101095	77101089	77101089	77101104	77101098	77101101			
42	360201	2203	77101093	77101096	77101090	77101090	77101105	77101099	77101102			
43	360301	2203	77101091	77101094	77101088	77101088	77101103	77101097	77101100			
44	364401	2203	77101127									
45	364301	2203	77101057	77101057	77101057	77101057	77101057	77101057	77101057			
46	360102	2203	77101113	77101116	77101110	77101110	77101125	77101119	77101122			
47	360202	2203	77101114	77101117	77101111	77101111	77101126	77101120	77101123			
48	360302	2203	77101112	77101115	77101109	77101109	77101124	77101118	77101121			
49	364402	2203	77101128									
50	364302	2203	77101058	77101058	77101058	77101058	77101058	77101058	77101058			
51	360103	2201	77101143	77101130	77101133	77101149	77101146	77101130	77101133			
52	360303	2201	77101142	77101129	77101132	77101148	77101145	77101129	77101132			
53	360203	2201	77101144	77101131	77101134	77101150	77101147	77101131	77101134			
54	364403	2201	77101154									
55	364303	2201	77101059	77101059	77101059	77101059	77101059	77101059	77101059			
56	360103	2202	77101136	77101130	77101130	77101130	77101140	77101130	77101152			
57	360303	2202	77101135	77101129	77101129	77101129	77101139	77101129	77101151			
58	360203	2202	77101137	77101131	77101131	77101131	77101141	77101131	77101153			
59	364403	2202	77101138									
60	364303	2202	77101059	77101059	77101059	77101059	77101059	77101059	77101059			
61	360414	2201		77108019	77108019	77108019	77108019	77108019	77108019			
62	360414	2202		77108019	77108019	77108019	77108019	77108019	77108019			
63	360414	2203	77108019	77108019	77108019	77108019		77108019	77108019			
