索引ID	AbilityGroupName
1	Ability_Activity_Sumo_NormalAttack
2	Ability_Activity_Sumo_ExtraAttack
3	Ability_Activity_Sumo_FallingDamage
4	Ability_Activity_Sumo_GenerateBall_AfterElementalArt
5	Ability_Activity_Sumo_Elemental_Burst
6	Ability_Activity_Sumo_ShieldBeingHitDoAttack
7	Ability_Activity_Sumo_TriggerAoe_AfterHealUp
8	Ability_Activity_Sumo_Fever_Faster
9	Ability_Activity_Sumo_ElemMasteryDelta
10	Ability_Activity_Sumo_ElementAddHurt_Fire
11	Ability_Activity_Sumo_ElementAddHurt_Ice
12	Ability_Activity_Sumo_ElementAddHurt_Elec
13	Ability_Activity_Sumo_ElementAddHurt_Rock
14	Ability_Activity_Sumo_ElementAddHurt_Water
15	Ability_Activity_Sumo_ElementAddHurt_Wind
16	Ability_Activity_Sumo_PhysicalAddHurt
17	Ability_Activity_Sumo_CriticalHurtDelta
18	Ability_Activity_Sumo_AtkUp
19	Activity_Sumo_Cannon
20	Activity_Sumo_ArtAndBurst_DamageUp
21	Activity_Sumo_ReviveEnergy
22	Activity_Sumo_WindZone
23	Activity_Sumo_WaterZone
24	Activity_Sumo_ExtraAttack_RandomDamage
