条目ID	场景ID	区域类型	一级区域ID	二级区域ID	默认解锁	对应地标ID	元素属性	地形类型	是否显示跳字	雷达放大
1100	3	1	1		0	7	7		1	1
1101	3	2	1	101	0				1	1
1102	3	2	1	102	0			1	1	3
1103	3	2	1	103	0			2	1	1
1104	3	2	1	104	0			2	1	1
1105	3	2	1	105	0			2	1	1
1106	3	2	1	106	0			2	1	1
1107	3	2	1	107	0			2	1	1
1108	3	2	1	108	0			2	1	1
1109	3	2	1	109	0			2	0	1
1110	3	2	1	110	0			2	0	1
1200	3	1	2		0	4	7		1	1
1201	3	2	2	201	0			2	1	1
1202	3	2	2	202	0			2	1	1
1203	3	2	2	203	0			2	1	1
1204	3	2	2	204	0			2	1	1
1205	3	2	2	205	0			2	1	1
1300	3	1	3		0	3	7		1	1
1301	3	2	3	301	0			1	1	1
1302	3	2	3	302	0			1	1	1
1400	3	1	4		0	29	7		1	1
1401	3	2	4	401	0			2	1	1
1402	3	2	4	402	0			2	1	1
1403	3	2	4	403	0			2	1	1
1500	3	1	10		0	204	7		1	1
1501	3	2	10	1501	0			2	1	1
1502	3	2	10	1502	0			2	1	1
1503	3	2	10	1503	0			2	1	1
1504	3	2	10	1504	0			2	1	1
1505	3	2	10	1505	0			2	1	1
1506	3	2	10	1506	0			2	1	1
2500	3	1	5		0	72	8		1	1
2501	3	2	5	501	0			2	1	1
2502	3	2	5	502	0			2	1	1
2503	3	2	5	503	0			2	1	1
2504	3	2	5	504	0			2	1	3
2507	3	2	5	507	0			2	1	1
2510	3	2	5	510	0			2	1	1
2600	3	1	6		0	74	8		1	1
2601	3	2	6	601	0			2	1	1
2602	3	2	6	602	0			2	1	1
2603	3	2	6	603	0			2	1	1
2604	3	2	6	604	0			2	1	1
2605	3	2	6	605	0			2	1	1
2606	3	2	6	606	0			2	1	1
2607	3	2	6	607	0			2	1	1
2805	3	2	6	805	0			2	1	1
2700	3	1	7		0	73	8		1	1
2701	3	2	7	701	0			1	1	3
2702	3	2	7	702	0			2	1	1
2703	3	2	7	703	0			2	1	1
2800	3	1	8		0	75	8		1	1
2801	3	2	8	801	0			2	1	1
2802	3	2	8	802	0			2	1	1
2803	3	2	8	803	0			2	1	1
2900	3	1	9		0	182	8		1	1
2505	3	2	9	505	0			2	1	1
2506	3	2	9	506	0			2	1	1
2508	3	2	9	508	0			2	1	1
2509	3	2	9	509	0			2	1	1
3100	3	1	11		0	234	4		1	1
3101	3	2	11	1101	0			1	1	3
3102	3	2	11	1102	0			2	1	3
3103	3	2	11	1103	0			2	1	1
3104	3	2	11	1104	0			2	1	1
3105	3	2	11	1105	0			2	1	1
3106	3	2	11	1106	0			2	1	1
3107	3	2	11	1107	0			2	1	1
3108	3	2	11	1108	0			2	1	1
3109	3	2	11	1109	0			2	1	1
3110	3	2	11	1110	0			2	1	1
3111	3	2	11	1111	0			2	1	1
3200	3	1	12		0	235	4		1	1
3201	3	2	12	1201	0			2	1	1
3202	3	2	12	1202	0			2	1	1
3300	3	1	13		0	236	4		1	1
3302	3	2	13	1301	0			2	1	1
3303	3	2	13	1302	0			2	1	1
3304	3	2	13	1303	0			2	1	1
3305	3	2	13	1304	0			2	1	1
3306	3	2	13	1305	0			2	1	1
3307	3	2	13	1306	0			2	1	1
3301	3	2	13	1307	0			2	1	1
100100	4	1	100		1	1		2	1	1
100101	4	1	101		0	3		2	1	1
100102	4	1	102		0	5		2	1	1
100103	4	1	103		0	6		2	1	1
3400	3	1	14		0	293	4		1	1
3401	3	2	14	1401	0			2	1	1
3402	3	2	14	1402	0			2	1	1
3403	3	2	14	1403	0			2	1	1
3404	3	2	14	1404	0			2	1	1
3405	3	2	14	1405	0			2	1	1
99100	3	1	16		0	314			1	1
3500	3	1	17		0	318	4		1	1
3501	3	2	17	1701	0			2	1	1
3502	3	2	17	1702	0			2	1	1
3503	3	2	17	1703	0			2	1	1
3504	3	2	17	1704	0			2	1	1
3600	3	1	18		0	316	4	2	1	1
3601	3	2	18	1801	0			2	1	1
3602	3	2	18	1802	0			2	1	1
3603	3	2	18	1803	0			2	1	1
3604	3	2	18	1804	0			2	1	1
3605	3	2	18	1805	0			2	1	1
3606	3	2	18	1806	0			2	1	1
3607	3	2	18	1807	0			2	1	1
3700	5	1	200		0	39		2	1	1
3701	5	2	200	20001	0			2	1	1
3702	5	2	200	20002	0			2	1	1
3703	5	2	200	20003	0			2	1	1
3704	5	2	200	20004	0			2	1	1
3705	5	2	200	20005	0			2	1	1
3706	5	2	200	20006	0			2	1	1
3707	5	2	200	20007	0			2	1	1
3708	5	2	200	20008	0			2	1	1
3709	5	2	200	20009	0			2	1	1
2200	3	1	19		0	442	8		1	1
2201	3	2	19	1901	0			2	1	1
2202	3	2	19	1902	0			2	1	1
2203	3	2	19	1903	0			2	1	1
2204	3	2	19	1904	0			2	1	1
2205	3	2	19	1905	0			2	1	1
2206	3	2	19	1906	0			2	1	1
2207	3	2	19	1907	0			2	1	1
3800	7	1	210		1			2	1	1
3801	7	2	210	21001	0			2	0	1
3802	7	2	210	21002	0			2	0	1
3803	7	2	210	21003	0			2	0	1
3804	7	2	210	21004	0			2	0	1
3805	7	2	210	21005	0			2	0	1
3806	7	2	210	21006	0			2	0	1
3807	7	2	210	21007	0			2	0	1
3808	7	2	210	21008	0			2	0	1
3809	7	2	210	21009	0			2	0	1
3900	6	1	300		0			2	1	1
3901	6	2	300	30001	0			2	1	1
3902	6	2	300	30002	0			2	1	1
